building_key,base_unit_token,record_count,condo_count,parking_count,storage_count,other_count,unit_tokens,addresses
3000 SOMERVALE CO SW,160,1,0,0,1,0,160S,160S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,161,1,0,0,1,0,161S,161S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,162,1,0,0,1,0,162S,162S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,163,1,0,0,1,0,163S,163S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,201,1,1,0,0,0,201,201 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,202,1,1,0,0,0,202,202 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,203,1,1,0,0,0,203,203 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,204,1,1,0,0,0,204,204 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,205,1,1,0,0,0,205,205 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,206,1,1,0,0,0,206,206 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,207,1,1,0,0,0,207,207 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,208,1,1,0,0,0,208,208 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,209,1,1,0,0,0,209,209 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,210,1,1,0,0,0,210,210 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,211,1,1,0,0,0,211,211 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,212,1,1,0,0,0,212,212 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,213,1,1,0,0,0,213,213 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,214,1,1,0,0,0,214,214 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,215,1,1,0,0,0,215,215 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,216,1,1,0,0,0,216,216 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,217,1,1,0,0,0,217,217 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,218,1,1,0,0,0,218,218 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,219,1,1,0,0,0,219,219 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,301,1,1,0,0,0,301,301 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,302,1,1,0,0,0,302,302 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,303,1,1,0,0,0,303,303 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,304,1,1,0,0,0,304,304 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,305,1,1,0,0,0,305,305 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,306,1,1,0,0,0,306,306 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,307,1,1,0,0,0,307,307 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,308,1,1,0,0,0,308,308 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,309,1,1,0,0,0,309,309 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,310,1,1,0,0,0,310,310 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,311,1,1,0,0,0,311,311 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,312,1,1,0,0,0,312,312 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,313,1,1,0,0,0,313,313 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,314,1,1,0,0,0,314,314 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,315,1,1,0,0,0,315,315 3000 SOMERVALE CO SW
